State,District,Solar Irradiance,Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Text-Crop,GW share irr (% of IWU),GW_dev_stage (%),Aquifer type,Number of SW bodies,Surface water area (km2),Surface water area (km2)-%,GW share irr (% of IWU),GW_dev_stage (%),Surface water area (km2),Text-Water,Number of pumps,Elect(%),Diesel (%),GW_abstracted (MCM),Electricity Tariff,GWL (m),Elect(%),emission factor,Emission (kgCO2),Text-Energy,Small& Marginal % Holdings,Avg Area per holding (ALLGrps),Avg. No. of Parcel per holdings (Allgrps),Small& Marginal % Holdings,Avg Area_class,parcel_class,Text-Farmer,DISCOM Name,DISCOM Name-shrt,DISCOM Rating,Feeder segregation,Feeder segregation,Electricity Tariff,Electricity Subsidy,Text-Utilty,Community-SIP,Community-SIP-text,SW-SIP,SW-SIP-BI,Pump,DISCOM-R,Feeder segregation,Text-Model,Text-Model-n,Model-short
west bengal,Alipurduar,4.60,47.71,178.90,0.00,25.03,Moderate,Moderate,Low,Low,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Low irrigation water requirements.",67.58,10.65,SR,1348.00,3.49,0.12,High,Low,2,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1348 surface water bodies, covering 0.1% of district area.",100.00,0.00,0,399.3667,460.00,6.83,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 399 MCM of groundwater.",97.75,0.74,1.31,Very High,4.00,Moderate,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.74 ha with Moderate fragmentation of land.,West Bengal State Electricity Distribution Company Limited (WBSEDCL),,B-,No,,460.00,Low,West Bengal State Electricity Distribution Company Limited (WBSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
madhya pradesh,Alirajpur,5.40,44.21,122.70,17.60,75.11,Moderate,Low,Low,Very High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.",53.30,43.32,HR,803.00,27.00,0.78,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 803 surface water bodies, covering 0.8% of district area.",100.00,98.00,0,86.3315,135.00,8.80,1,0.27244,0.00,"District has 100 pumps, with 98 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 86 MCM of groundwater.",73.06,1.60,3.23,High,3.00,Very High,Small and Marginal farmers hold 73 % of holdings. The average area per holding is 1.6 ha with Very High fragmentation of land.,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),,A,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS and FLS) 
uttar pradesh,Allahabad,4.99,60.37,162.60,89.00,75.68,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",53.84,73.27,SR,7565.00,55.41,1.07,High,Semi-critical,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Semi-critical. There are 7565 surface water bodies, covering 1.1% of district area.",100.00,41.00,59,942.1478,0.00,7.57,3,0.157168,0.01,"District has 100 pumps, with 41 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 942 MCM of groundwater.",93.37,0.69,1.92,Very High,4.00,Moderate,Small and Marginal farmers hold 93 % of holdings. The average area per holding is 0.69 ha with Moderate fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,mix,,Yes,"Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps.","Both electric and diesel pumps are present. With more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. PM-KUSUM B for diesel pumps. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model B and C (IPS and FLS) +  DISCOM
uttarakhand,Almora,4.82,13.90,141.70,0.00,46.23,Low,Moderate,Low,Moderate,"District has Low proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",0.13,0.00,SR,178.00,0.13,0.00,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 178 surface water bodies, covering 0% of district area.",100.00,89.00,11,957.9634,285.00,21.14,1,0.255472,0.05,"District has 100 pumps, with 89 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 957 MCM of groundwater.",95.62,0.86,3.83,Very High,4.00,Very High,Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.86 ha with Very High fragmentation of land.,Uttarakhand Power Corporation Limited (UPCL),,B-,Yes,More than 70 % of feeder is segregated.,285.00,Moderate,Uttarakhand Power Corporation Limited (UPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
rajasthan,Alwar,5.02,62.57,177.70,60.70,66.88,High,Moderate,High,High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with High irrigation water requirements.",96.99,182.88,SR,2.00,5.05,0.06,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 2 surface water bodies, covering 0.1% of district area.",100.00,100.00,0,1314.0131,167.00,33.96,1,0.278,0.11,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 1314 MCM of groundwater.",84.50,1.17,3.59,Very High,3.00,Very High,Small and Marginal farmers hold 84 % of holdings. The average area per holding is 1.17 ha with Very High fragmentation of land.,Jaipur Vidyut Vitran Nigam Limited (JVVNL),(JVVNL),B,No,,167.00,Moderate,Jaipur Vidyut Vitran Nigam Limited (JVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,No,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
haryana,Ambala,4.78,96.68,192.70,94.80,65.82,Very High,High,Very High,High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.",93.69,123.06,SR,775.00,5.81,0.32,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 775 surface water bodies, covering 0.3% of district area.",100.00,100.00,0,486.0374,10.00,8.90,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 486 MCM of groundwater.",72.13,1.84,1.00,High,3.00,Low,Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.84 ha with Low fragmentation of land.,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),,A+,Yes,More than 70 % of feeder is segregated.,10.00,Very High,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
uttar pradesh,Ambedkar Nagar,4.79,72.72,167.80,95.90,74.80,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",89.69,62.98,SR,3316.00,14.07,0.60,Very High,Moderate,3,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 3316 surface water bodies, covering 0.6% of district area.",100.00,43.00,57,725.5324,0.00,6.21,3,0.161264,0.01,"District has 100 pumps, with 43 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 725 MCM of groundwater.",97.61,0.51,1.66,Very High,4.00,Moderate,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.51 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,Yes,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B + DISCOM
uttar pradesh,Amethi,4.80,60.69,165.60,89.10,73.82,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",67.01,64.61,SR,3283.00,14.78,0.44,High,Moderate,3,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 3283 surface water bodies, covering 0.4% of district area.",100.00,5.00,94,940.9854,0.00,6.68,4,0.082708,0.00,"District has 100 pumps, with 5 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 940 MCM of groundwater.",96.52,0.56,1.91,Very High,4.00,Moderate,Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.56 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
maharashtra,Amravati,5.25,54.90,118.30,9.00,65.60,High,Low,Low,High,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.",90.92,91.83,HR,1699.00,84.85,0.68,Very High,Semi-critical,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 1699 surface water bodies, covering 0.7% of district area.",100.00,60.00,39,737.4928,155.00,10.03,2,0.195348,0.01,"District has 100 pumps, with 60 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 737 MCM of groundwater.",74.53,1.60,1.37,High,3.00,Moderate,Small and Marginal farmers hold 74 % of holdings. The average area per holding is 1.6 ha with Moderate fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
gujarat,Amreli,5.53,76.12,107.30,37.40,78.71,Very High,Low,Moderate,Very High,"District has Very High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",99.15,50.38,HR,1876.00,40.27,0.51,Very High,Moderate,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 1876 surface water bodies, covering 0.5% of district area.",100.00,100.00,0,748.3077,60.00,14.40,1,0.278,0.03,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 748 MCM of groundwater.",60.15,2.20,1.01,High,2.00,Low,Small and Marginal farmers hold 60 % of holdings. The average area per holding is 2.2 ha with Low fragmentation of land.,Paschim Gujarat Vij Company Limited (PGVCL),,A+,Yes,More than 70 % of feeder is segregated.,60.00,Very High,Paschim Gujarat Vij Company Limited (PGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
punjab,Amritsar,4.71,83.14,189.80,100.00,66.69,Very High,High,Very High,High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with High irrigation water requirements.",78.37,178.11,SR,1055.00,6.76,0.25,Very High,Over-exploited,2,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 1055 surface water bodies, covering 0.3% of district area.",100.00,100.00,0,116.2015,0.00,15.00,1,0.278,0.00,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 116 MCM of groundwater.",33.13,3.58,1.23,Low,1.00,Low,Small and Marginal farmers hold 33 % of holdings. The average area per holding is 3.58 ha with Low fragmentation of land.,Punjab State Power Corporation Limited (PSPCL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Punjab State Power Corporation Limited (PSPCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,High,Yes,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ,PM-KUSUM model C (IPS)
uttar pradesh,Amroha,4.79,72.12,160.30,87.30,76.05,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",88.13,91.75,SR,1456.00,0.01,0.00,Very High,Semi-critical,1,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Semi-critical. There are 1456 surface water bodies, covering 0% of district area.",100.00,14.00,85,452.1933,0.00,12.50,4,0.10114,0.01,"District has 100 pumps, with 14 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 452 MCM of groundwater.",90.13,0.84,1.84,Very High,4.00,Moderate,Small and Marginal farmers hold 90 % of holdings. The average area per holding is 0.84 ha with Moderate fragmentation of land.,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),,B,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,High,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
gujarat,Anand,5.53,70.26,178.20,95.50,79.32,High,Moderate,Very High,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",61.94,22.84,SR,1634.00,38.99,1.29,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 1634 surface water bodies, covering 1.3% of district area.",100.00,20.00,74,245.5086,60.00,14.90,4,0.109768,0.00,"District has 100 pumps, with 20 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 245 MCM of groundwater.",89.46,1.00,1.00,Very High,4.00,Low,Small and Marginal farmers hold 89 % of holdings. The average area per holding is 1 ha with Low fragmentation of land.,Madhya Gujarat Vij Company Limited (MGVCL),,A+,Yes,More than 70 % of feeder is segregated.,60.00,Very High,Madhya Gujarat Vij Company Limited (MGVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A+. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,High,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
andhra pradesh,Anantapur,5.46,44.63,105.00,18.60,70.21,Moderate,Low,Low,Very High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.",73.47,33.28,HR,50537.00,508.29,2.58,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 50537 surface water bodies, covering 2.6% of district area.",100.00,100.00,0,389.8556,0.00,8.80,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 389 MCM of groundwater.",72.01,1.59,1.63,High,3.00,Moderate,Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.59 ha with Moderate fragmentation of land.,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),,B-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,,, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources. ",PM-KUSUM (IPS) + DISCOM
