District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Mahesana,Very Low,Very High,Very High,Mitigation + GW Sustainability,77.44,152.0,76.5,77.04,97.47,108.2,2244.0,1.33,100.0,,60.0,83.67,1.2,1.43,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Mahisagar,Moderate,High,High,Mitigation + GW Sustainability,49.53,137.8,57.1,79.05,72.18,47.18,1161.0,1.23,100.0,,60.0,78.8,1.4,2.0,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Mahoba,Low,Moderate,Moderate,No Data,71.21,131.0,28.9,70.4,56.23,91.45,1178.0,0.26,3.0,97.0,,73.98,1.67,2.79,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Mainpuri,Very Low,Very High,Moderate,Mitigation,72.36,165.4,100.0,79.13,74.21,71.96,974.0,0.11,5.0,95.0,,95.47,0.62,1.75,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Malappuram,High,Very Low,Moderate,Adaptation,49.59,135.3,18.6,52.82,48.04,71.55,5983.0,0.38,98.0,2.0,195.0,99.39,0.12,1.12,Kerala State Electricity Board Limited (KSEBL),B-,No
Maldah,High,Moderate,High,Adaptation + GW Sustainability,62.41,165.9,23.5,45.76,83.51,35.57,11903.0,1.43,76.0,24.0,460.0,96.31,0.83,3.12,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Malkangiri,Very High,Very Low,Very Low,Adaptation,33.81,100.8,4.1,37.59,11.04,16.8,1928.0,0.15,48.0,49.0,150.0,82.62,1.42,1.84,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Mamit,Very High,Very Low,Very Low,Adaptation,5.84,100.0,9.0,34.77,,1.94,559.0,0.07,,,380.0,62.61,1.76,1.34,,,No data
Mandi,Moderate,Very Low,Very Low,No Data,22.54,174.4,17.5,36.56,2.56,14.25,13465.0,0.02,100.0,,30.0,92.98,0.78,6.7,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Mandla,Very High,Low,Low,Adaptation,24.47,148.1,17.4,68.07,18.65,20.41,2773.0,4.81,100.0,,135.0,78.24,1.33,2.51,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Mandsaur,Very Low,Moderate,Very High,GW Sustainability,64.0,178.1,43.6,72.71,86.92,104.57,527.0,0.32,100.0,,135.0,76.5,1.5,2.82,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Mandya,High,Moderate,Moderate,Adaptation,58.49,130.7,47.4,58.15,28.03,60.75,2437.0,2.96,100.0,,,95.55,0.6,1.84,Chamundeshwari Electricity Supply Corporation Limited (CHESCOM),B,Yes
Mansa,Very Low,High,High,Mitigation + GW Sustainability,86.22,198.3,99.7,84.32,44.44,98.94,707.0,0.25,96.0,4.0,,,4.05,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Mathura,Very Low,High,High,Mitigation + GW Sustainability,80.54,152.5,82.8,79.38,59.9,71.42,1999.0,0.09,36.0,64.0,,76.29,1.49,2.54,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Mau,Very Low,Very High,Moderate,Mitigation,69.8,164.4,96.9,75.73,82.36,64.62,3733.0,0.75,11.0,89.0,,97.0,0.51,1.77,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Mayurbhanj,High,Very Low,Very Low,Adaptation,45.1,104.7,13.3,27.51,15.85,43.14,2911.0,0.09,57.0,36.0,150.0,95.25,0.82,1.64,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Medak,Moderate,Very High,High,Mitigation + GW Sustainability,54.08,120.8,62.0,69.64,81.09,47.06,3407.0,0.63,100.0,,,91.26,0.88,1.53,Southern Power Distribution Company of Telangana Limited (TSSPDCL),C,No
Meerut,Very Low,Very High,High,Mitigation + GW Sustainability,71.33,154.4,100.0,67.54,84.83,77.27,1833.0,0.38,21.0,78.0,,87.34,1.0,2.0,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Mewat,Very Low,Moderate,Very High,GW Sustainability,74.69,168.8,66.1,77.12,87.47,80.22,337.0,0.03,98.0,2.0,10.0,76.92,1.61,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Mirzapur,Low,High,Moderate,Mitigation,46.88,157.1,72.7,72.59,58.51,62.7,1837.0,0.29,47.0,53.0,,89.66,0.88,2.49,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Moga,Very Low,High,Very High,Mitigation + GW Sustainability,86.75,199.3,100.0,76.7,75.57,237.22,480.0,0.12,96.0,4.0,,,3.74,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Mokokchung,Low,Very Low,Very Low,No Data,20.72,141.7,15.9,28.19,1.38,1.25,125.0,0.05,,,320.0,25.92,5.12,2.66,,,No data
Mon,Moderate,Very Low,Very Low,No Data,23.53,122.3,13.6,23.28,0.22,3.68,92.0,0.14,,,320.0,14.17,4.3,1.88,,,No data
Moradabad,Very Low,Very High,Very High,Mitigation + GW Sustainability,80.83,180.7,93.9,73.66,81.39,88.64,2697.0,0.12,56.0,43.0,,92.82,0.73,1.69,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Morbi,Low,Very High,High,Mitigation + GW Sustainability,73.76,117.0,52.6,77.98,98.68,45.9,1438.0,0.9,100.0,,60.0,60.33,2.27,1.08,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Morena,Low,High,Very High,Mitigation + GW Sustainability,55.95,157.0,57.6,59.31,69.03,40.13,1633.0,0.68,83.0,16.0,135.0,87.12,1.03,2.89,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Morigaon,Very High,Moderate,Very Low,Adaptation,51.64,169.7,4.5,41.5,46.02,30.52,7803.0,0.48,3.0,97.0,465.0,88.19,0.93,1.41,Assam Power Distribution Company Limited (APDCL),B-,No
Muktsar,Low,Moderate,Moderate,No Data,86.73,200.4,99.9,84.0,36.11,24.13,436.0,0.33,89.0,11.0,,,5.14,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Mumbai City,No Data,No Data,No Data,No Data,,,,,,,,,100.0,,155.0,,,,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Mumbai Suburban,No Data,No Data,No Data,No Data,,,,56.33,,,,,100.0,,155.0,,,,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Mungeli,High,Moderate,High,Adaptation + GW Sustainability,46.8,161.3,46.2,49.74,25.68,55.88,1593.0,5.6,100.0,,,89.99,0.94,2.18,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Munger,Low,High,Low,Mitigation,29.43,115.3,79.1,52.52,64.14,31.9,190.0,0.06,65.0,35.0,67.5,96.7,0.36,1.01,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Murshidabad,Low,High,High,Mitigation + GW Sustainability,74.72,167.2,25.6,45.37,87.24,58.69,18674.0,1.22,39.0,60.0,460.0,96.81,0.75,3.45,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Muzaffarnagar,Very Low,Very High,Very High,Mitigation + GW Sustainability,72.99,149.4,100.0,73.91,82.1,76.27,1327.0,0.33,19.0,80.0,,87.04,0.95,2.17,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Muzaffarpur,Low,High,Moderate,Mitigation,67.92,155.9,54.0,62.15,95.43,67.38,785.0,0.25,47.0,53.0,67.5,97.12,0.53,1.01,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Mysore,High,Low,Low,Adaptation,55.94,130.4,24.9,56.13,30.03,55.3,318.0,0.05,99.0,,,93.98,0.79,1.39,Chamundeshwari Electricity Supply Corporation Limited (CHESCOM),B,Yes
Nabarangapur,Very High,Very Low,Very Low,Adaptation,48.63,102.2,2.9,38.27,27.95,37.22,,,80.0,19.0,150.0,87.72,1.1,1.5,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Nadia,Moderate,High,High,Mitigation + GW Sustainability,75.11,195.5,24.2,43.52,97.41,85.71,13874.0,1.62,12.0,88.0,460.0,97.32,0.72,2.69,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Nagaon,High,Low,Low,Adaptation,55.57,165.5,22.5,40.12,64.0,28.55,5908.0,0.22,4.0,96.0,465.0,85.87,0.94,2.86,Assam Power Distribution Company Limited (APDCL),B-,No
Nagappattinam,High,Moderate,High,Adaptation + GW Sustainability,48.49,174.6,61.0,57.37,14.41,,7073.0,4.59,83.0,5.0,,90.53,0.93,2.3,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Nagaur,Low,Low,Very High,GW Sustainability,72.9,120.4,24.7,72.06,99.9,181.68,234.0,0.05,85.0,13.0,167.0,38.96,3.91,2.06,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Nagpur,High,High,Low,Adaptation + Mitigation,47.77,123.2,37.2,69.35,71.66,48.94,3269.0,0.52,95.0,5.0,155.0,69.12,1.74,1.46,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Nainital,Very Low,High,Moderate,Mitigation,9.5,162.2,54.6,58.91,28.65,55.26,,,18.0,82.0,285.0,87.48,1.04,2.46,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Nalanda,Low,Very High,High,Mitigation + GW Sustainability,67.94,148.0,88.7,61.18,88.39,75.65,2298.0,24.0,5.0,78.0,67.5,96.28,0.29,1.73,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Nalbari,High,Moderate,Low,Adaptation,67.25,172.8,42.2,36.15,70.38,25.19,3414.0,2.05,2.0,97.0,465.0,83.0,1.09,3.62,Assam Power Distribution Company Limited (APDCL),B-,No
Nalgonda,High,Moderate,High,Adaptation + GW Sustainability,70.82,119.7,47.8,69.31,60.16,41.34,1970.0,0.91,100.0,,,85.97,1.13,1.69,Southern Power Distribution Company of Telangana Limited (TSSPDCL),C,No
Namakkal,Very Low,High,High,Mitigation + GW Sustainability,45.48,137.1,40.8,73.16,77.15,119.19,1061.0,0.22,69.0,27.0,,88.65,0.93,2.2,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Namsai,High,Very Low,Very Low,Adaptation,68.87,172.4,,18.36,16.19,,,,,,290.0,60.3,2.04,1.0,,,No data
Nanded,Very High,High,Moderate,Adaptation + Mitigation,68.38,114.1,15.5,65.91,80.01,32.37,2724.0,1.22,100.0,,155.0,80.59,1.29,1.43,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Nandurbar,High,Moderate,Low,Adaptation,36.38,133.7,22.9,73.41,66.19,38.08,3009.0,0.58,,,155.0,68.5,1.79,1.39,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Narayanpur,Moderate,Very Low,Very Low,No Data,3.59,100.9,0.6,48.39,,4.33,220.0,0.14,100.0,,,56.33,2.37,2.85,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Narmada,Low,Moderate,Moderate,No Data,41.17,122.4,29.1,73.68,82.99,55.79,856.0,0.54,100.0,,60.0,65.32,2.07,1.01,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Narsimhapur,Low,High,Very High,Mitigation + GW Sustainability,60.74,155.6,61.8,77.19,83.65,66.95,564.0,0.14,97.0,3.0,135.0,71.98,1.79,2.27,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Nashik,High,High,High,All,47.55,107.6,51.0,69.81,69.92,58.41,6137.0,3.0,100.0,,155.0,76.81,1.41,1.55,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Navsari,High,High,Moderate,Adaptation + Mitigation,44.5,110.7,75.3,77.09,40.77,27.14,1484.0,1.71,91.0,9.0,60.0,83.15,1.22,1.0,Dakshin Gujarat Vij Company Limited (DGVCL),A+,Yes
Nawada,Low,High,Low,Mitigation,48.36,112.8,90.8,59.73,57.88,49.35,49.0,0.04,25.0,75.0,67.5,97.36,0.37,2.43,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Nayagarh,Very High,Very Low,Low,Adaptation,36.23,119.8,4.5,36.5,25.61,44.02,879.0,0.09,69.0,31.0,150.0,97.28,0.66,1.6,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Neemuch,Very Low,High,Very High,Mitigation + GW Sustainability,44.16,175.9,41.6,71.56,82.19,99.23,1463.0,0.61,83.0,14.0,135.0,82.02,1.24,2.27,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Nellore,High,High,Moderate,Adaptation + Mitigation,27.81,105.7,73.1,72.74,45.12,26.06,,,99.0,1.0,,89.27,0.92,1.6,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Nicobar Islands,High,Very Low,Very Low,Adaptation,0.17,140.7,,81.98,0.57,0.28,100.0,0.01,100.0,,175.0,42.04,2.85,3.35,,,No data
Nizamabad,Low,Very High,Very High,Mitigation + GW Sustainability,53.83,177.2,87.6,66.38,70.41,54.89,1333.0,12.8,100.0,,,91.04,0.92,1.62,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
North 24 Parganas,Low,Very High,High,Mitigation + GW Sustainability,59.69,201.1,25.8,41.98,94.13,67.9,33867.0,1.73,11.0,89.0,460.0,98.07,0.57,2.85,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
North and Middle Andaman,High,Very Low,Very Low,Adaptation,2.37,119.5,,47.98,0.57,2.3,2789.0,0.07,33.0,67.0,175.0,57.44,1.88,2.77,,,No data
North Garo Hills,Very High,Very Low,Very Low,Adaptation,15.32,116.1,43.7,30.78,,4.79,1304.0,3.93,,,300.0,72.39,1.38,2.38,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
North Goa,Very High,Very Low,Low,Adaptation,44.95,117.8,20.4,63.83,30.11,25.2,566.0,2.74,100.0,,150.0,91.3,1.08,1.34,,,No data
North Sikkim,No Data,No Data,No Data,No Data,,122.5,,12.88,2.07,2.74,29.0,0.01,65.0,35.0,,54.87,2.43,1.17,,,No data
North Tripura,High,Very Low,Very Low,Adaptation,15.52,174.3,24.8,34.69,30.85,12.11,,,100.0,,405.0,95.88,0.43,1.07,Tripura State Electricity Corporation Limited (TSECL),C,No
Nuapada,Very High,Very Low,Very Low,Adaptation,47.6,107.1,10.5,43.74,12.35,61.24,746.0,0.13,44.0,54.0,150.0,90.17,1.04,1.22,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Osmanabad,Very High,Moderate,High,Adaptation + GW Sustainability,85.54,162.0,15.3,68.6,85.74,62.01,3272.0,2.0,100.0,,155.0,73.11,1.6,1.36,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Pakur,High,Low,Low,Adaptation,22.75,180.1,12.4,36.7,34.35,14.47,4994.0,1.17,4.0,96.0,95.0,88.25,0.98,2.01,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Palakkad,High,Very Low,Moderate,Adaptation,44.83,132.0,34.4,45.82,36.21,59.75,5988.0,1.35,93.0,7.0,195.0,98.15,0.22,1.24,Kerala State Electricity Board Limited (KSEBL),B-,No
Palamu,Moderate,Moderate,Low,No Data,16.72,128.0,31.3,47.05,39.52,34.99,5681.0,1.49,22.0,72.0,95.0,92.5,0.85,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Palghar,No Data,No Data,No Data,No Data,,110.1,5.4,62.35,71.97,23.85,1204.0,0.29,100.0,,155.0,78.89,1.59,1.52,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Palghar,No Data,No Data,No Data,No Data,,110.1,5.4,62.35,71.97,23.85,1204.0,0.29,100.0,,155.0,78.89,1.59,1.52,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Palghar,No Data,No Data,No Data,No Data,,,,,,23.85,1204.0,0.29,,,155.0,78.89,1.59,1.52,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Palghar,No Data,No Data,No Data,No Data,,,,,,23.85,1204.0,0.29,,,155.0,78.89,1.59,1.52,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Pali,Moderate,Very Low,High,GW Sustainability,51.16,113.2,21.3,76.12,96.76,159.03,423.0,0.75,90.0,10.0,167.0,54.14,3.4,3.14,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Palwal,Moderate,High,Very High,Mitigation + GW Sustainability,76.81,191.0,98.0,82.47,73.58,94.36,1218.0,1.4,100.0,,10.0,80.18,1.41,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
Panch Mahals,High,Moderate,Moderate,Adaptation,54.63,135.6,42.6,74.6,72.14,21.81,,,100.0,,60.0,76.95,1.47,1.02,Madhya Gujarat Vij Company Limited (MGVCL),A+,Yes
Panchkula,Very Low,High,Very High,Mitigation + GW Sustainability,40.6,197.5,65.8,57.71,87.32,63.01,209.0,0.13,100.0,,10.0,80.18,1.4,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Panipat,Very Low,High,Very High,Mitigation + GW Sustainability,75.27,196.8,100.0,81.0,78.73,198.16,574.0,0.38,98.0,,10.0,78.57,1.54,1.02,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Panna,Moderate,Low,Moderate,No Data,36.68,177.7,34.6,70.1,55.65,36.48,2771.0,0.59,100.0,,135.0,79.19,1.42,4.78,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Papum Pare,Moderate,Very Low,Very Low,No Data,59.5,147.9,24.0,20.32,2.59,1.24,266.0,0.05,,,290.0,31.97,4.07,2.31,,,No data
Parbhani,Very High,High,Very High,All,81.49,120.0,29.3,68.63,92.59,46.5,1688.0,1.28,96.0,2.0,155.0,77.25,1.43,1.27,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Pashchim Champaran,Low,High,Low,Mitigation,48.35,162.1,81.3,60.17,48.34,27.11,,,9.0,89.0,67.5,96.27,0.19,1.26,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Pashchim Medinipur,Low,Moderate,Very High,GW Sustainability,62.77,181.8,28.0,42.54,59.5,52.95,35467.0,1.0,85.0,15.0,460.0,97.62,0.7,1.85,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Pashchimi Singhbhum,Moderate,Very Low,Very Low,No Data,15.1,157.8,1.0,35.33,7.09,10.45,6740.0,1.17,2.0,97.0,95.0,75.55,1.5,1.04,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Patan,Very Low,High,Very High,Mitigation + GW Sustainability,57.69,148.2,47.5,74.97,98.75,98.74,1897.0,0.85,100.0,,60.0,63.08,2.07,1.52,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Pathanamthitta,Very High,Low,Low,Adaptation,30.37,130.1,8.6,36.75,36.07,37.63,1457.0,3.46,100.0,,195.0,99.32,0.25,3.46,Kerala State Electricity Board Limited (KSEBL),B-,No
Pathankot,Very Low,Low,Moderate,No Data,50.33,195.3,55.2,54.58,68.13,51.47,186.0,0.07,100.0,,,,2.08,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Patiala,Very Low,High,Very High,Mitigation + GW Sustainability,80.02,197.9,99.7,70.36,95.2,214.72,1365.0,0.43,99.0,1.0,,,3.92,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Patna,Low,High,Low,Mitigation,53.88,123.6,72.8,63.49,66.5,59.34,360.0,0.26,3.0,97.0,67.5,98.26,0.29,1.33,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Perambalur,Moderate,Low,High,GW Sustainability,58.28,106.5,29.2,60.15,70.19,109.39,1078.0,1.02,96.0,3.0,,94.43,0.68,1.27,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Peren,Low,Very Low,Very Low,No Data,17.37,153.6,29.1,31.52,0.04,1.59,74.0,0.01,100.0,,320.0,31.75,3.37,1.05,,,No data
Phek,Moderate,Very Low,Very Low,No Data,17.6,138.6,30.0,33.61,0.1,2.41,85.0,0.01,,,320.0,29.82,3.94,2.38,,,No data
Pilibhit,Low,Very High,Moderate,Mitigation,61.05,176.0,97.8,69.91,69.01,64.78,4620.0,0.33,24.0,75.0,,87.0,0.98,1.92,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Pithoragarh,Moderate,Very Low,Low,No Data,4.67,175.6,,35.9,0.04,,93.0,,98.0,1.0,285.0,98.66,0.64,2.48,Uttarakhand Power Corporation Limited (UPCL),B-,Yes
Poonch,High,Very Low,Very Low,Adaptation,23.25,165.8,13.2,33.4,22.28,14.77,202.0,,99.0,1.0,235.0,90.26,0.84,2.19,,,No data
Porbandar,Very Low,Very High,Very High,Mitigation + GW Sustainability,50.17,157.1,53.1,78.76,98.24,50.1,341.0,0.41,100.0,,60.0,67.83,1.95,1.18,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Prakasam,High,Low,Moderate,Adaptation,32.47,101.5,26.8,55.76,44.64,32.45,5475.0,2.2,99.0,1.0,,84.39,1.2,1.99,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Pratapgarh,Low,Very Low,High,GW Sustainability,45.97,173.9,42.4,72.0,57.52,128.5,3089.0,0.15,100.0,,167.0,80.31,1.41,3.01,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Pratapgarh-UP,Low,Moderate,Moderate,No Data,45.97,162.6,42.4,76.26,73.53,78.63,75.0,0.07,11.0,89.0,,97.03,0.51,1.89,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Puducherry,Low,Very High,Very High,Mitigation + GW Sustainability,32.76,197.0,89.3,70.56,85.14,81.68,566.0,6.59,,,,94.75,0.67,1.17,,,No data
Pudukkottai,High,High,High,All,31.03,103.5,84.2,61.67,30.28,49.34,7575.0,41.57,96.0,3.0,,93.9,0.65,2.19,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Pulwama,High,High,Low,Adaptation + Mitigation,55.42,168.6,68.8,38.94,0.59,27.2,225.0,,,,235.0,98.09,0.49,7.28,,,No data
Pune,Very High,High,Very High,All,64.88,121.5,27.3,73.8,81.64,69.65,3680.0,1.19,84.0,15.0,155.0,81.42,1.23,1.64,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Purba Champaran,Low,High,Moderate,Mitigation,66.24,145.7,53.3,58.24,80.28,43.25,,,25.0,75.0,67.5,97.65,0.41,6.52,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Purba Medinipur,High,Moderate,High,Adaptation + GW Sustainability,71.85,107.8,4.8,43.42,58.5,36.27,25952.0,1.23,98.0,1.0,460.0,99.63,0.45,2.03,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Purbi Singhbhum,High,High,Low,Adaptation + Mitigation,10.94,101.1,2.6,32.78,56.02,30.41,5936.0,7.3,7.0,91.0,95.0,89.3,0.85,3.59,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Puri,High,Very Low,Low,Adaptation,46.65,129.7,60.4,35.94,15.93,52.37,3263.0,0.27,42.0,57.0,150.0,96.91,0.71,1.36,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Purnia,Moderate,Very High,Moderate,Mitigation,40.11,111.0,90.4,38.03,86.25,32.77,1501.0,90.35,1.0,96.0,67.5,91.78,0.46,1.16,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Puruliya,Very High,Very Low,Low,Adaptation,52.66,144.0,15.8,48.48,8.46,17.26,20867.0,2.35,86.0,13.0,460.0,94.78,0.73,2.75,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Rae Bareli,Low,Very High,Moderate,Mitigation,57.92,165.7,89.2,80.4,66.99,58.71,5948.0,0.82,16.0,84.0,,95.84,0.61,2.01,Paschimanchal Vidyut Vitran Nigam Limited (PVVNL),B,Yes
Raichur,Very High,Low,Moderate,Adaptation,80.13,117.6,41.0,69.81,22.39,44.73,133.0,0.01,96.0,4.0,,67.72,1.97,1.85,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Raigarh,Very High,Very Low,Low,Adaptation,38.77,109.8,23.1,42.85,20.63,17.94,2854.0,4.7,100.0,,155.0,80.94,1.33,3.03,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Raigarh-C,Moderate,Very Low,Low,No Data,38.77,114.8,23.1,61.41,54.4,40.94,1750.0,0.11,100.0,,,87.5,1.17,1.94,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Raipur,Moderate,Low,Moderate,No Data,56.59,120.0,77.2,46.72,20.12,61.56,2624.0,1.4,98.0,2.0,,88.19,1.11,2.33,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Raisen,Low,Moderate,High,GW Sustainability,51.29,166.9,62.5,74.95,59.11,53.67,933.0,0.32,91.0,9.0,135.0,63.81,2.03,2.06,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),B,Yes
Rajgarh,Low,Moderate,Very High,GW Sustainability,78.29,183.2,45.2,71.41,71.55,89.78,711.0,0.98,100.0,,135.0,74.2,1.56,2.88,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Rajkot,Low,Moderate,High,GW Sustainability,65.98,113.4,42.2,79.24,98.8,62.85,2700.0,0.47,100.0,,60.0,66.56,1.95,1.8,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Rajnandgaon,Moderate,Very Low,Moderate,No Data,46.17,137.7,32.1,51.6,13.01,69.7,2643.0,0.56,96.0,3.0,,82.53,1.28,2.73,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Rajouri,High,Low,Very Low,Adaptation,21.39,190.1,10.6,35.93,9.96,12.41,761.0,,,,235.0,88.68,0.96,2.68,,,No data
Rajsamand,Low,Low,High,GW Sustainability,22.5,133.9,31.8,80.02,95.26,123.39,555.0,0.33,82.0,18.0,167.0,85.38,1.15,5.76,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Ramanagara,Moderate,Low,High,GW Sustainability,48.7,107.1,22.7,50.36,72.12,95.77,1213.0,1.04,100.0,,,93.69,0.69,1.52,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Ramanathapuram,Very High,High,Moderate,Adaptation + Mitigation,45.27,100.0,43.5,62.61,13.41,6.54,10292.0,6.46,91.0,5.0,,94.2,0.65,1.66,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Ramban,High,Low,Very Low,Adaptation,17.72,126.7,5.9,38.92,2.24,32.65,45.0,,,,235.0,94.04,0.62,2.63,,,No data
Ramgarh,Moderate,Low,Low,No Data,12.55,162.2,13.8,40.89,72.83,62.3,1372.0,131.0,10.0,88.0,95.0,76.78,1.55,2.37,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
